SQUARE:
|         i  |      a[i]  |Modified a[i]  |
|         0  |       1.00  |        1.00  |
|         1  |       2.23  |        4.99  |
|         2  |       3.30  |       10.89  |
|         3  |       4.42  |       19.56  |
|         4  |       5.51  |       30.37  |
|         5  |       6.22  |       38.64  |
|         6  |       7.70  |       59.29  |
|         7  |       8.28  |       68.56  |
|         8  |       9.96  |       99.20  |
|         9  |     -10.71  |      114.70  |
|        10  |      11.00  |      121.00  |
SIN + COS - TG:
|         i  |      a[i]  |Modified a[i]  |
|         0  |       1.00  |       -0.18  |
|         1  |       2.23  |        1.45  |
|         2  |       3.30  |       -1.30  |
|         3  |       4.42  |       -4.60  |
|         4  |       5.51  |        0.99  |
|         5  |       6.22  |        1.00  |
|         6  |       7.70  |       -5.30  |
|         7  |       8.28  |        2.70  |
|         8  |       9.96  |       -1.96  |
|         9  |     -10.71  |        4.08  |
|        10  |      11.00  |      224.96  |
NEAREST INTEGER:
|         i  |      a[i]  |Modified a[i]  |
|         0  |       1.00  |        1.00  |
|         1  |       2.23  |        2.00  |
|         2  |       3.30  |        3.00  |
|         3  |       4.42  |        4.00  |
|         4  |       5.51  |        6.00  |
|         5  |       6.22  |        6.00  |
|         6  |       7.70  |        8.00  |
|         7  |       8.28  |        8.00  |
|         8  |       9.96  |       10.00  |
|         9  |     -10.71  |      -11.00  |
|        10  |      11.00  |       11.00  |
